# MTH: Downloaded on 2020-09-09 from:
#
# File generated 2018-10-24 22:54 UTC
# With command line:
#  metadata_file.py -m conf/metadata_ff.conf
#  -g notes/eew/geojson2ew.d-twcs-fastlane
#  -s conf/fastlane_siteloc_20181023.txt
#  -l notes/metadata/PW-Fastlane-legend.txt
#
# URL: http://www.panga.cwu.edu/realtime/data/fastlane_sites_metadata.txt
#
# SNCL:
#    Network code 'PW' refers to CWU processing, not a merged product
#    Component codes for all channels begin with 'LY' (e.g., 'LYN')
#    Location is 00 for all channels
#
# Channels:
#    Displacement and error (sigma) values originate in meters. Correlation
#    values are unitless and range from -1 to 1. For each channel the 
#    geojson2ew plugin applies the corresponding multiplier and truncates
#    the value to an integer.
#
#    E: east/west displacement with east positive
#    N: north/south displacement with north positive
#    Z: up/down displacement with up positive. Referred to as 'U' elsewhere 
#       in configuration and EEW GeoJSON format description.
#    1: error for E channel
#    2: error for N channel
#    3: error for U channel
#    4: EN component of correlation matrix
#    5: EU component of correlation matrix
#    6: UN component of correlation matrix
#    Q: quality indicator -- integer ranging from 0 to 100
#
# Metadata fields
#    Network code  - 2 characters
#    Site code     - typically 4 characters
#    Location      - 2 digits, typically 00
#    Component     - 'LY' + channel identifier as listed above
#    Coordinates   - latitude, longitude (decimal degrees), elevation (meters)
#    Sample Rate   - in Hz
#    Multiplier    - for integer-to-float conversion
#    Units
#    'PPP'         - Fastlane computes Permanent Point Position solutions
#
PW AGGO  00 LY4 -34.873713 -58.139867 42.77 1 1e6 - PPP
PW AGGO  00 LY5 -34.873713 -58.139867 42.77 1 1e6 - PPP
PW AGGO  00 LY6 -34.873713 -58.139867 42.77 1 1e6 - PPP
PW AIRS  00 LYE 16.740851 -62.213856 82.93 1 1e6 DU/M PPP
PW AIRS  00 LYN 16.740851 -62.213856 82.93 1 1e6 DU/M PPP
PW AIRS  00 LYZ 16.740851 -62.213856 82.93 1 1e6 DU/M PPP
PW AIRS  00 LYQ 16.740851 -62.213856 82.93 1 1 - PPP
PW AIRS  00 LY1 16.740851 -62.213856 82.93 1 1e6 DU/M PPP
PW AIRS  00 LY2 16.740851 -62.213856 82.93 1 1e6 DU/M PPP
PW AIRS  00 LY3 16.740851 -62.213856 82.93 1 1e6 DU/M PPP
PW AIRS  00 LY4 16.740851 -62.213856 82.93 1 1e6 - PPP
PW AIRS  00 LY5 16.740851 -62.213856 82.93 1 1e6 - PPP
PW AIRS  00 LY6 16.740851 -62.213856 82.93 1 1e6 - PPP
PW AJAC  00 LYE 41.927459 8.762618 99.47 1 1e6 DU/M PPP
PW AJAC  00 LYN 41.927459 8.762618 99.47 1 1e6 DU/M PPP
PW AJAC  00 LYZ 41.927459 8.762618 99.47 1 1e6 DU/M PPP
PW AJAC  00 LYQ 41.927459 8.762618 99.47 1 1 - PPP
PW AJAC  00 LY1 41.927459 8.762618 99.47 1 1e6 DU/M PPP
PW AJAC  00 LY2 41.927459 8.762618 99.47 1 1e6 DU/M PPP
PW AJAC  00 LY3 41.927459 8.762618 99.47 1 1e6 DU/M PPP
PW AJAC  00 LY4 41.927459 8.762618 99.47 1 1e6 - PPP
PW AJAC  00 LY5 41.927459 8.762618 99.47 1 1e6 - PPP
PW AJAC  00 LY6 41.927459 8.762618 99.47 1 1e6 - PPP
PW ALBH  00 LYE 48.389780 -123.487472 32.46 1 1e6 DU/M PPP
PW ALBH  00 LYN 48.389780 -123.487472 32.46 1 1e6 DU/M PPP
PW ALBH  00 LYZ 48.389780 -123.487472 32.46 1 1e6 DU/M PPP
PW ALBH  00 LYQ 48.389780 -123.487472 32.46 1 1 - PPP
PW ALBH  00 LY1 48.389780 -123.487472 32.46 1 1e6 DU/M PPP
PW ALBH  00 LY2 48.389780 -123.487472 32.46 1 1e6 DU/M PPP
PW ALBH  00 LY3 48.389780 -123.487472 32.46 1 1e6 DU/M PPP
PW ALBH  00 LY4 48.389780 -123.487472 32.46 1 1e6 - PPP
PW ALBH  00 LY5 48.389780 -123.487472 32.46 1 1e6 - PPP
PW ALBH  00 LY6 48.389780 -123.487472 32.46 1 1e6 - PPP
PW ALGO  00 LYE 45.955801 -78.071371 201.65 1 1e6 DU/M PPP
PW ALGO  00 LYN 45.955801 -78.071371 201.65 1 1e6 DU/M PPP
PW ALGO  00 LYZ 45.955801 -78.071371 201.65 1 1e6 DU/M PPP
PW ALGO  00 LYQ 45.955801 -78.071371 201.65 1 1 - PPP
PW ALGO  00 LY1 45.955801 -78.071371 201.65 1 1e6 DU/M PPP
PW ALGO  00 LY2 45.955801 -78.071371 201.65 1 1e6 DU/M PPP
PW ALGO  00 LY3 45.955801 -78.071371 201.65 1 1e6 DU/M PPP
PW ALGO  00 LY4 45.955801 -78.071371 201.65 1 1e6 - PPP
PW ALGO  00 LY5 45.955801 -78.071371 201.65 1 1e6 - PPP
PW ALGO  00 LY6 45.955801 -78.071371 201.65 1 1e6 - PPP
PW ALIC  00 LYE -23.670111 133.885521 603.94 1 1e6 DU/M PPP
PW ALIC  00 LYN -23.670111 133.885521 603.94 1 1e6 DU/M PPP
PW ALIC  00 LYZ -23.670111 133.885521 603.94 1 1e6 DU/M PPP
PW ALIC  00 LYQ -23.670111 133.885521 603.94 1 1 - PPP
PW ALIC  00 LY1 -23.670111 133.885521 603.94 1 1e6 DU/M PPP
PW ALIC  00 LY2 -23.670111 133.885521 603.94 1 1e6 DU/M PPP
PW ALIC  00 LY3 -23.670111 133.885521 603.94 1 1e6 DU/M PPP
PW ALIC  00 LY4 -23.670111 133.885521 603.94 1 1e6 - PPP
PW ALIC  00 LY5 -23.670111 133.885521 603.94 1 1e6 - PPP
PW ALIC  00 LY6 -23.670111 133.885521 603.94 1 1e6 - PPP
PW ANA1  00 LYE 34.015007 -119.363474 23.12 1 1e6 DU/M PPP
